Employee Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
Name,Fall 2020 - Staff Remote Learning Pulse Survey (Public),How to Improve Remote Learning,Overall Perceptions of Remote Learning,School Climate & Culture,Technology Challenges with Remote Learning,Spring 2019 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2018 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2017 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2016 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2015 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture
Van Asselt,,31.0,54.0,84.0,37.0,,64.0,59.0,69.0,,44.0,44.0,44.0,,52.0,50.0,55.0,,62.0,64.0,59.0,,72.0,65.0,80.0
View Ridge,,33.0,33.0,91.0,31.0,,75.0,73.0,77.0,,61.0,60.0,61.0,,77.0,79.0,74.0,,79.0,80.0,78.0,,74.0,77.0,70.0
Viewlands,,31.0,53.0,88.0,29.0,,86.0,83.0,89.0,,69.0,66.0,73.0,,82.0,81.0,84.0,,76.0,72.0,79.0,,76.0,73.0,79.0
Washington,,17.0,39.0,88.0,32.0,,34.0,36.0,31.0,,48.0,40.0,58.0,,45.0,39.0,52.0,,42.0,37.0,47.0,,41.0,35.0,49.0
Wedgwood,,27.0,35.0,88.0,27.0,,71.0,64.0,79.0,,82.0,79.0,85.0,,78.0,76.0,81.0,,72.0,74.0,71.0,,74.0,75.0,73.0
West Seattle Elementary,,29.0,29.0,88.0,20.0,,86.0,87.0,86.0,,83.0,83.0,83.0,,87.0,86.0,89.0,,87.0,86.0,87.0,,83.0,86.0,80.0
West Seattle High,,29.0,57.0,90.0,35.0,,57.0,49.0,65.0,,58.0,45.0,72.0,,56.0,52.0,59.0,,48.0,43.0,54.0,,49.0,45.0,54.0
West Woodland,,27.0,58.0,86.0,28.0,,77.0,71.0,84.0,,82.0,80.0,84.0,,92.0,93.0,92.0,,84.0,78.0,92.0,,82.0,77.0,87.0
Whitman,,22.0,43.0,72.0,34.0,,72.0,73.0,72.0,,80.0,82.0,78.0,,64.0,58.0,70.0,,74.0,69.0,80.0,,62.0,54.0,71.0
Whittier,,34.0,44.0,85.0,34.0,,70.0,62.0,78.0,,46.0,46.0,47.0,,57.0,54.0,61.0,,75.0,76.0,75.0,,53.0,43.0,63.0
Wing Luke,,34.0,57.0,99.0,28.0,,84.0,87.0,81.0,,83.0,84.0,82.0,,74.0,73.0,76.0,,61.0,61.0,62.0,,79.0,73.0,87.0
World School,,17.0,31.0,85.0,30.0,,61.0,50.0,74.0,,41.0,38.0,44.0,,60.0,65.0,55.0,,66.0,58.0,74.0,,77.0,70.0,85.0
Cascade,,,,,,,72.0,73.0,70.0,,70.0,65.0,75.0,,,,,,78.0,67.0,90.0,,,,
McGilvra,,,,,,,76.0,83.0,68.0,,85.0,89.0,81.0,,77.0,83.0,69.0,,84.0,88.0,78.0,,89.0,87.0,91.0
Middle College HS,,,,,,,46.0,38.0,54.0,,56.0,54.0,58.0,,66.0,58.0,74.0,,77.0,82.0,71.0,,46.0,58.0,34.0
Nova,,,,,,,88.0,85.0,92.0,,83.0,79.0,88.0,,75.0,71.0,80.0,,87.0,88.0,87.0,,81.0,76.0,87.0
Queen Anne,,,,,,,56.0,47.0,66.0,,70.0,64.0,76.0,,78.0,76.0,80.0,,73.0,65.0,82.0,,72.0,71.0,72.0
